Interaction;Value;Percentage_Contribution
diffHighPrice_0_1 <-> bearish_extrem_vs_rest_activity_extrem;20.6942;0.1586
price_volume_dynamic <-> perct_VA16P;20.6241;0.1580
bearish_asc_ask_bid_delta_imbalance <-> ratioDeltaAbv;20.5929;0.1578
bearish_absorption_intensity_repeat_count <-> diffLowPrice_0_4;20.3534;0.1560
bear_imbalance_low_0 <-> diffPriceClosePoc_0_4;20.3395;0.1559
perct_VA21P <-> bullish_absorption_ratio;20.2792;0.1554
bullish_asc_ask_bid_delta_imbalance <-> bullish_reversal_force;20.1403;0.1543
bearish_absorption_ratio <-> bearish_ask_score;20.0058;0.1533
VolPocVolCandleRatio <-> bearish_imnbScore_score;19.8492;0.1521
perct_VA16P <-> bearish_extrem_revIntensity_ratio_extrem;19.7174;0.1511
ratio_delta_vol_VA16P <-> perctBB;19.6085;0.1503
bear_imbalance_low_0 <-> cumDiffVolDeltaRatio;19.5260;0.1496
bearish_imbalance_evolution <-> poc_diff_11P_21P;19.4769;0.1493
bullish_asc_ask_bid_delta_imbalance <-> bullish_market_context_score;19.3045;0.1479
bearish_combined_pressure <-> bearish_extrem_revIntensity_ratio_extrem;19.2615;0.1476
poc_diff_ratio_6P_16P <-> bearish_dsc_ask_bid_delta_imbalance;18.9902;0.1455
bearish_extrem_pressure_ratio_extrem <-> imbalance_score_low;18.9349;0.1451
diffLowPrice_0_4 <-> bearish_extrem_abs_ratio_extrem;18.9234;0.1450
bearish_continuation_vs_reversal_extrem <-> diffVolCandle_0_1Ratio;18.6623;0.1430
bearish_absorption_intensity_repeat_count <-> bearish_extrem_abs_ratio_extrem;18.5503;0.1421
bull_imbalance_high_2 <-> bearish_ask_score;18.5339;0.1420
bullish_dsc_ask_bid_delta_imbalance <-> bullish_imnbScore_score;18.4308;0.1412
bullish_imnbScore_score <-> bearish_bid_abs_ratio_abv;18.3340;0.1405
overlap_ratio_VA_6P_11P <-> bearish_ask_bid_ratio;18.3132;0.1403
absorption_intensity_repeat_bearish_vol <-> bullish_repeatAskBid_ratio;18.2745;0.1400
overlap_ratio_VA_6P_11P <-> bearish_market_context_score;18.1589;0.1392
ratio_delta_vol_VA21P <-> bearish_repeatAskBid_ratio;18.0569;0.1384
poc_diff_ratio_6P_21P <-> bullish_absorption_ratio;18.0476;0.1383
ratio_delta_vol_VA16P <-> overlap_ratio_VA_11P_21P;18.0055;0.1380
deltaTimestampOpeningSection1min <-> bearish_extrem_abs_ratio_extrem;17.9806;0.1378
extrem_zone_significance_bearish_extrem <-> bearish_extrem_revIntensity_ratio_extrem;17.9743;0.1377
bearish_extrem_revIntensity_ratio_extrem <-> bullish_repeatAskBid_ratio;17.9261;0.1374
bullish_dsc_ask_bid_delta_imbalance <-> diffPriceClose_VA16PvaL;17.9110;0.1373
diffVolCandle_0_1Ratio <-> bear_imbalance_low_0;17.7074;0.1357
bullish_asc_ask_bid_delta_imbalance <-> perct_VA6P;17.6768;0.1355
vol_volatility_score <-> bearish_bid_abs_ratio_abv;17.5871;0.1348
bearish_dsc_ask_bid_delta_imbalance <-> bearish_combined_pressure;17.5849;0.1348
bearish_dsc_dynamics <-> range_strength_5_23;17.5371;0.1344
perct_VA21P <-> bullish_market_context_score;17.4196;0.1335
