feature;importance;importance_percentage;cumulative_importance_percentage
bull_imbalance_low_3;0.0;0.0;100.00001
bear_imbalance_low_0;0.0;0.0;100.00001
bear_imbalance_low_1;0.0;0.0;100.00001
bear_imbalance_low_2;0.0;0.0;100.00001
bear_imbalance_high_1;0.0;0.0;100.00001
bear_imbalance_high_2;0.0;0.0;100.00001
imbalance_score_high;0.0;0.0;100.00001
finished_auction_high;0.0;0.0;100.00001
finished_auction_low;0.0;0.0;100.00001
bearish_ask_abs_ratio_abv;0.0;0.0;100.00001
naked_poc_dist_below;0.0;0.0;100.00001
