Interaction;Value;Percentage_Contribution
imbalance_score_low <-> overlap_ratio_VA_6P_16P;5.2898;0.1217
poc_diff_ratio_6P_21P <-> bear_imbalance_high_1;5.1806;0.1192
ratio_delta_vol_VA11P <-> diffLowPrice_0_4;5.1499;0.1185
bullish_combined_pressure <-> bearish_reversal_force;5.1438;0.1183
ratio_delta_vol_VA16P <-> diffPriceClose_VA11PvaH;4.9351;0.1135
poc_diff_ratio_6P_16P <-> ratio_delta_vol_VA16P;4.8829;0.1123
ratio_delta_vol_VA16P <-> bullish_bid_score;4.8645;0.1119
cumDiffVolDeltaRatio <-> bullish_imnbScore_score;4.8499;0.1116
bearish_repeatAskBid_ratio <-> perctBB;4.8328;0.1112
bearish_dsc_ask_bid_delta_imbalance <-> bearish_repeatAskBid_ratio;4.8150;0.1108
bullish_ask_bid_ratio <-> bull_imbalance_high_0;4.7988;0.1104
bearish_absorption_score <-> bearish_absorption_intensity_repeat_count;4.5373;0.1044
count_blw_tot_ratio <-> diffPriceCloseVWAP;4.3264;0.0995
bearish_market_context_score <-> bull_imbalance_high_2;4.3108;0.0992
ratio_delta_vol_VA11P <-> range_strength_5_23;4.1530;0.0955
diffVolDelta_0_1Ratio <-> bullish_repeatAskBid_ratio;4.0018;0.0921
VolPocVolCandleRatio <-> bearish_imnbScore_score;3.8012;0.0874
pocDeltaPocVolRatio <-> bullish_combined_pressure;3.7928;0.0873
imbalance_score_low <-> bearish_imnbScore_score;3.7819;0.0870
diffPriceClose_VA21PPoc <-> bearish_absorption_intensity_repeat_count;3.7685;0.0867
diffHighPrice_0_1 <-> imbalance_score_low;3.7438;0.0861
bullish_asc_ask_bid_delta_imbalance <-> diffPriceCloseVWAP;3.7380;0.0860
imbalance_score_high <-> bearish_bid_abs_ratio_abv;3.7181;0.0855
range_strength_5_23 <-> bull_imbalance_high_2;3.7045;0.0852
perct_VA11P <-> diffPriceCloseVWAP;3.6787;0.0846
bandWidthBB <-> pocDeltaPocVolRatio;3.6398;0.0837
diffHighPrice_0_3 <-> bear_imbalance_low_2;3.6065;0.0830
bandWidthBB <-> naked_poc_dist_below;3.5992;0.0828
price_volume_dynamic <-> ratio_delta_vol_VA6P;3.5685;0.0821
poc_diff_6P_21P <-> bullish_imbalance_evolution;3.5347;0.0813
bear_imbalance_high_1 <-> diffPriceClose_VA11PvaL;3.4970;0.0804
bearish_dsc_ask_bid_delta_imbalance <-> bull_imbalance_high_2;3.4873;0.0802
diffPriceClose_VA16PvaL <-> overlap_ratio_VA_6P_16P;3.4596;0.0796
bull_imbalance_high_1 <-> atr;3.4088;0.0784
bullish_asc_ask_bid_imbalance <-> diffPriceCloseVWAP;3.3455;0.0770
diffVolCandle_0_1Ratio <-> count_blw_tot_ratio;3.3326;0.0767
bear_imbalance_low_2 <-> perctBB;3.3259;0.0765
perct_VA6P <-> bearish_ask_ratio;3.2437;0.0746
bullish_asc_ask_bid_delta_imbalance <-> bearish_dsc_ask_bid_delta_imbalance;3.1927;0.0734
deltaTimestampOpeningSection5min <-> perct_VA11P;3.1704;0.0729
diffPriceClose_VA11PPoc <-> price_volume_dynamic;3.0706;0.0706
bull_imbalance_low_3 <-> bullish_bid_score;3.0681;0.0706
diffPriceClose_VA11PvaH <-> diffPriceCloseVWAP;3.0512;0.0702
diffPriceClose_VA21PvaH <-> bearish_absorption_intensity_repeat_count;3.0256;0.0696
bearish_repeatAskBid_ratio <-> perct_VA6P;2.9442;0.0677
deltaTimestampOpeningSection5min <-> imbalance_score_high;2.9250;0.0673
diffPriceClose_VA16PvaL <-> diffPriceClosePoc_0_2;2.8559;0.0657
diffPriceClosePoc_0_4 <-> ratio_delta_vol_VA6P;2.8000;0.0644
diffPriceCloseVWAP <-> diffLowPrice_0_4;2.7817;0.0640
pocDeltaPocVolRatio <-> bullish_imnbScore_score;2.7113;0.0624
ratio_delta_vol_VA21P <-> bullish_asc_ask_bid_delta_imbalance;2.6652;0.0613
bear_imbalance_high_1 <-> bullish_repeatAskBid_ratio;2.6520;0.0610
ratio_delta_vol_VA6P <-> bullish_imbalance_evolution;2.6345;0.0606
deltaTimestampOpeningSection5min <-> bearish_absorption_intensity_repeat_count;2.5533;0.0587
bullish_combined_pressure <-> bull_imbalance_high_0;2.4945;0.0574
ratio_delta_vol_VA21P <-> bullish_repeatAskBid_ratio;2.4778;0.0570
bullish_asc_ask_bid_imbalance <-> ratio_delta_vol_VA6P;2.4748;0.0569
diffPriceClose_VA21PvaL <-> bearish_ask_abs_ratio_abv;2.4431;0.0562
diffPriceCloseVWAP <-> overlap_ratio_VA_11P_21P;2.4403;0.0561
bearish_absorption_score <-> diffLowPrice_0_4;2.4389;0.0561
diffLowPrice_0_4 <-> deltaTimestampOpeningSection5min;2.4236;0.0558
ratio_delta_vol_VA21P <-> perct_VA11P;2.4148;0.0556
deltaTimestampOpeningSection1min <-> ratio_delta_vol_VA16P;2.3910;0.0550
range_strength_5_23 <-> perct_VA16P;2.3647;0.0544
bearish_dsc_ask_bid_delta_imbalance <-> bearish_imbalance_evolution;2.3502;0.0541
bearish_ask_abs_ratio_abv <-> ratio_delta_vol_VA16P;2.3499;0.0541
diffPriceClose_VA16PPoc <-> range_strength_10_32;2.3315;0.0536
price_volume_dynamic <-> poc_diff_ratio_6P_16P;2.3312;0.0536
diffVolCandle_0_1Ratio <-> bullish_imnbScore_score;2.2648;0.0521
bull_imbalance_high_2 <-> bear_imbalance_low_2;2.2463;0.0517
perct_VA11P <-> diffPriceClosePoc_0_3;2.1749;0.0500
perct_VA11P <-> perct_VA21P;2.1507;0.0495
overlap_ratio_VA_11P_21P <-> poc_diff_11P_21P;2.0773;0.0478
naked_poc_dist_above <-> diffPriceCloseVWAP;2.0211;0.0465
bearish_dsc_ask_bid_delta_imbalance <-> bearish_absorption_score;1.9981;0.0460
perct_VA6P <-> diffLowPrice_0_4;1.9730;0.0454
bullish_repeatAskBid_ratio <-> bearish_dsc_ask_bid_delta_imbalance;1.9715;0.0454
naked_poc_dist_below <-> perct_VA11P;1.8564;0.0427
bearish_dsc_ask_bid_delta_imbalance <-> naked_poc_dist_above;1.8130;0.0417
overlap_ratio_VA_6P_21P <-> diffPriceCloseVWAP;1.8047;0.0415
price_volume_dynamic <-> bullish_combined_pressure;1.7856;0.0411
bandWidthBB <-> diffVolDelta_0_1Ratio;1.7027;0.0392
diffLowPrice_0_3 <-> bear_imbalance_high_1;1.6885;0.0388
range_strength_10_32 <-> diffPriceCloseVWAP;1.6855;0.0388
bullish_combined_pressure <-> diffLowPrice_0_5;1.6684;0.0384
diffHighPrice_0_3 <-> ratio_delta_vol_VA21P;1.6378;0.0377
overlap_ratio_VA_11P_21P <-> diffPriceClose_VA16PPoc;1.6361;0.0376
ratio_delta_vol_VA16P <-> diffVolCandle_0_1Ratio;1.6323;0.0376
diffPriceCloseVWAP <-> diffPriceClose_VA16PvaH;1.6112;0.0371
diffPriceClosePoc_0_2 <-> diffPriceCloseVWAP;1.5929;0.0366
bull_imbalance_low_3 <-> bearish_dsc_ask_bid_delta_imbalance;1.5898;0.0366
bullish_asc_ask_bid_delta_imbalance <-> bearish_absorption_score;1.5865;0.0365
bearish_asc_ask_bid_delta_imbalance <-> bearish_absorption_score;1.5845;0.0365
vol_volatility_score <-> diffPriceCloseVWAP;1.5802;0.0364
diffPriceCloseVWAP <-> naked_poc_dist_below;1.4649;0.0337
poc_diff_ratio_6P_16P <-> perct_VA6P;1.4441;0.0332
diffVolCandle_0_1Ratio <-> bearish_dsc_ask_bid_delta_imbalance;1.4153;0.0326
diffPriceCloseVWAP <-> imbalance_score_low;1.4067;0.0324
bullish_absorption_score <-> deltaTimestampOpeningSection1min;1.3678;0.0315
bearish_bid_abs_ratio_abv <-> diffLowPrice_0_3;1.3574;0.0312
bearish_absorption_score <-> ratio_delta_vol_VA6P;1.3411;0.0309
diffPriceCloseVWAP <-> poc_diff_ratio_11P_21P;1.3363;0.0307
bullish_ask_score <-> ratio_delta_vol_VA21P;1.3198;0.0304
perct_VA6P <-> diffPriceClose_VA6PvaL;1.2856;0.0296
diffPriceCloseVWAP <-> finished_auction_high;1.2846;0.0296
bullish_absorption_score <-> bearish_bid_abs_ratio_abv;1.2208;0.0281
bearish_absorption_score <-> bearish_repeatAskBid_ratio;1.1949;0.0275
bull_imbalance_high_2 <-> perct_VA16P;1.1564;0.0266
perctBB <-> bearish_asc_dsc_ratio;1.1520;0.0265
vol_volatility_score <-> range_strength_10_32;1.1368;0.0262
perct_VA21P <-> ratio_delta_vol_VA16P;1.1247;0.0259
