Interaction;Value;Percentage_Contribution
range_strength_5_23 <-> imbalance_score_high;14.4640;0.1740
perct_VA6P <-> bearish_bid_ratio;14.4099;0.1734
bearish_asc_dsc_ratio <-> bearish_market_context_score;14.3904;0.1732
bearish_asc_ask_bid_imbalance <-> bullish_imbalance_evolution;14.1964;0.1708
diffPriceCloseVWAP <-> count_blw_tot_ratio;14.0787;0.1694
bearish_asc_dynamics <-> bullish_dsc_ask_bid_delta_imbalance;14.0010;0.1685
asymetrie_volume <-> diffPriceCloseVWAP;13.9512;0.1679
vol_volatility_score <-> range_strength_5_23;13.8366;0.1665
bearish_bid_score <-> bullish_imnbScore_score;13.8113;0.1662
bull_imbalance_high_2 <-> diffPriceClose_VA21PPoc;13.7570;0.1655
bearish_repeatAskBid_ratio <-> poc_diff_6P_21P;13.7541;0.1655
deltaTimestampOpeningSection5min <-> bull_imbalance_high_0;13.6288;0.1640
ratio_delta_vol_VA16P <-> bearish_asc_dynamics;13.5858;0.1635
perct_VA21P <-> bullish_combined_pressure;13.5748;0.1633
diffHighPrice_0_4 <-> bullish_asc_ask_bid_imbalance;13.3740;0.1609
bearish_dsc_ask_bid_delta_imbalance <-> bearish_absorption_intensity_repeat_count;13.2370;0.1593
vol_volatility_score <-> diffVolCandle_0_1Ratio;13.1950;0.1588
bearish_dsc_ask_bid_delta_imbalance <-> poc_diff_6P_21P;13.1786;0.1586
diffPriceClose_VA21PvaH <-> diffPriceCloseVWAP;13.1119;0.1578
diffLowPrice_0_4 <-> bearish_asc_dsc_ratio;13.0691;0.1573
overlap_ratio_VA_6P_21P <-> imbalance_score_high;13.0616;0.1572
diffPriceClose_VA21PvaL <-> absorption_intensity_repeat_bearish_vol;12.9676;0.1560
bearish_market_context_score <-> bullish_bid_score;12.9368;0.1557
ratio_delta_vol_VA16P <-> perctBB;12.8870;0.1551
bullish_asc_ask_bid_imbalance <-> perct_VA16P;12.8090;0.1541
bull_imbalance_low_2 <-> bearish_absorption_score;12.5599;0.1511
deltaTimestampOpeningSection30min <-> bearish_bid_abs_ratio_abv;12.5340;0.1508
overlap_ratio_VA_6P_11P <-> bullish_dsc_ask_bid_imbalance;12.4121;0.1493
bearish_dsc_ask_bid_delta_imbalance <-> ratio_delta_vol_VA21P;12.3162;0.1482
perct_VA6P <-> diffHighPrice_0_5;12.3144;0.1482
diffPriceCloseVWAP <-> bullish_market_context_score;12.2887;0.1479
ratio_delta_vol_VA16P <-> bearish_absorption_score;12.1463;0.1461
diffVolDelta_0_1Ratio <-> bear_imbalance_high_3;12.0122;0.1445
market_regimeADX <-> diffPriceCloseVWAP;12.0012;0.1444
diffVolCandle_0_1Ratio <-> bull_imbalance_low_2;11.8887;0.1430
bullish_ask_bid_ratio <-> bearish_absorption_score;11.7471;0.1413
range_strength_5_23 <-> bearish_dsc_ask_bid_imbalance;11.6744;0.1405
bearish_dsc_ask_bid_delta_imbalance <-> ratio_delta_vol_VA16P;11.6552;0.1402
imbalance_score_high <-> bullish_absorption_score;11.6082;0.1397
diffPriceClose_VA6PvaH <-> bullish_imnbScore_score;11.5749;0.1393
bearish_bid_abs_ratio_abv <-> bullish_dsc_dynamics;11.4750;0.1381
deltaTimestampOpeningSection5min <-> diffLowPrice_0_4;11.4499;0.1378
bearish_dsc_ask_bid_imbalance <-> bearish_market_context_score;11.4326;0.1376
count_blw_tot_ratio <-> perctBB;11.4061;0.1372
bearish_bid_score <-> imbalance_score_low;11.4005;0.1372
bearish_asc_dsc_ratio <-> perctBB;11.3213;0.1362
vol_volatility_score <-> bearish_dsc_ask_bid_delta_imbalance;11.2972;0.1359
bearish_asc_dsc_ratio <-> bearish_repeatAskBid_ratio;11.2362;0.1352
bullish_combined_pressure <-> VolAbv_vol_ratio;11.2288;0.1351
bearish_ask_ratio <-> diffPriceCloseVWAP;11.1751;0.1345
imbalance_score_low <-> cumDiffVolDeltaRatio;11.1399;0.1340
bullish_asc_dsc_ratio <-> ratio_delta_vol_VA11P;11.1334;0.1340
bearish_repeatAskBid_ratio <-> bullish_absorption_ratio;11.0595;0.1331
bullish_repeatAskBid_ratio <-> bear_imbalance_low_2;11.0584;0.1331
bullish_dsc_ask_bid_imbalance <-> range_strength_5_23;10.9037;0.1312
naked_poc_dist_above <-> perct_VA21P;10.8309;0.1303
price_volume_dynamic <-> bearish_dsc_ask_bid_imbalance;10.6922;0.1287
